Fecha;ID Producto;Cantidad;Precio
03/01/2022;510;5;30,00
03/01/2022;516;4;18,00
04/01/2022;510;7;42,00
04/01/2022;514;10;65,00
05/01/2022;548;3;6,00
05/01/2022;510;3;18,00
06/01/2022;530;3;25,50
06/01/2022;540;5;37,50
07/01/2022;524;6;12,00
07/01/2022;562;2;10,00
10/01/2022;560;2;16,00
10/01/2022;542;2;20,00
12/01/2022;510;3;18,00
12/01/2022;510;5;30,00
14/01/2022;518;4;16,00
14/01/2022;560;4;32,00
17/01/2022;510;2;12,00
17/01/2022;580;5;40,00
19/01/2022;578;1;15,50
19/01/2022;510;7;42,00
21/01/2022;530;2;17,00
21/01/2022;540;10;75,00
24/01/2022;536;3;15,00
24/01/2022;580;4;32,00
26/01/2022;520;4;16,00
26/01/2022;548;2;4,00
28/01/2022;522;5;20,00
28/01/2022;510;5;30,00
31/01/2022;580;5;40,00
31/01/2022;510;5;30,00
07/02/2022;532;2;20,00
07/02/2022;544;3;36,00
07/02/2022;514;11;71,50
07/02/2022;548;10;20,00
08/02/2022;536;5;25,00
08/02/2022;542;3;30,00
09/02/2022;514;12;78,00
09/02/2022;548;10;20,00
10/02/2022;540;5;37,50
10/02/2022;560;5;40,00
11/02/2022;516;7;31,50
11/02/2022;530;5;42,50
21/02/2022;518;4;16,00
21/02/2022;524;3;6,00
23/02/2022;520;6;24,00
23/02/2022;580;6;48,00
24/02/2022;522;6;24,00
24/02/2022;510;6;36,00
25/02/2022;562;5;25,00
25/02/2022;510;6;36,00
07/03/2022;532;2;20,00
07/03/2022;544;4;48,00
08/03/2022;536;5;25,00
08/03/2022;580;7;56,00
14/03/2022;514;9;58,50
14/03/2022;548;10;20,00
16/03/2022;540;5;37,50
16/03/2022;560;5;40,00
18/03/2022;516;7;31,50
18/03/2022;530;5;42,50
19/03/2022;524;3;6,00
19/03/2022;580;5;40,00
22/03/2022;518;4;16,00
22/03/2022;524;3;6,00
24/03/2022;520;6;24,00
24/03/2022;580;6;48,00
26/03/2022;522;6;24,00
26/03/2022;510;6;36,00
28/03/2022;562;5;25,00
28/03/2022;510;6;36,00
30/03/2022;544;2;24,00
04/04/2022;532;2;20,00
04/04/2022;544;2;24,00
06/04/2022;536;5;25,00
06/04/2022;580;3;24,00
08/04/2022;514;8;52,00
08/04/2022;548;10;20,00
12/04/2022;540;5;37,50
12/04/2022;560;5;40,00
14/04/2022;516;7;31,50
14/04/2022;530;5;42,50
18/04/2022;518;4;16,00
18/04/2022;524;3;6,00
20/04/2022;520;6;24,00
20/04/2022;580;6;48,00
22/04/2022;522;6;24,00
22/04/2022;510;6;36,00
26/04/2022;562;5;25,00
26/04/2022;510;6;36,00
02/05/2022;532;2;20,00
02/05/2022;544;3;36,00
04/05/2022;536;5;25,00
04/05/2022;580;3;24,00
06/05/2022;514;7;45,50
06/05/2022;548;10;20,00
09/05/2022;540;5;37,50
09/05/2022;560;5;40,00
16/05/2022;516;7;31,50
16/05/2022;530;5;42,50
18/05/2022;518;4;16,00
18/05/2022;524;3;6,00
20/05/2022;520;6;24,00
20/05/2022;580;6;48,00
23/05/2022;522;6;24,00
23/05/2022;510;6;36,00
25/05/2022;562;5;25,00
25/05/2022;510;6;36,00
26/05/2022;532;2;20,00
26/05/2022;544;4;48,00
26/05/2022;536;5;25,00
27/05/2022;580;3;24,00
27/05/2022;514;9;58,50
01/06/2022;532;2;20,00
01/06/2022;544;2;24,00
03/06/2022;536;5;25,00
06/06/2022;580;3;24,00
06/06/2022;514;8;52,00
08/06/2022;548;10;20,00
08/06/2022;540;5;37,50
10/06/2022;560;5;40,00
20/06/2022;516;7;31,50
20/06/2022;530;5;42,50
22/06/2022;518;4;16,00
22/06/2022;524;3;6,00
24/06/2022;520;6;24,00
24/06/2022;580;6;48,00
27/06/2022;522;6;24,00
27/06/2022;510;6;36,00
29/06/2022;562;5;25,00
29/06/2022;510;6;36,00
30/06/2022;576;10;125,00
30/06/2022;578;4;62,00
30/06/2022;532;2;20,00
30/06/2022;544;2;24,00
03/07/2022;532;2;20,00
03/07/2022;544;2;24,00
05/07/2022;536;5;25,00
05/07/2022;580;3;24,00
07/07/2022;514;8;52,00
07/07/2022;548;10;20,00
10/07/2022;540;5;37,50
10/07/2022;560;5;40,00
12/07/2022;516;7;31,50
12/07/2022;530;5;42,50
14/07/2022;518;4;16,00
14/07/2022;524;3;6,00
24/07/2022;520;6;24,00
24/07/2022;580;6;48,00
26/07/2022;522;6;24,00
26/07/2022;510;6;36,00
